ID,fldOrderNum,fldQuoteNum,fldFloorsFinishedYes,fldFloorsFinishedNo,fldWallProtectionYes,fldWallProtectionNo,fldObstructionsYes,fldObstructionNo,fldListObstructions,fldMasioniteYes,fldMasioniteNo,fldMasioniteSheets,fldMasioniteLocate,fldFreightElevYes,fldFreightElevNo,fldFreightElevFeet,fldFreightElevInch,fldPassangerElevYes,fldPassangerElevNo,fldPassangerElevFeet,fldPassangerElevInch,fldElevPaddingYes,fldElevPaddingNo,fldElevPaddingNum,fldElevLockedOffYes,fldElevLockedOffNo,fldElevKeysYes,fldElevKeysNo,fld1stFloorYes,fld1stFloorNo
480,83548,83548,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
482,83799,83781,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
485,83781,83791,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
483,83932,83878,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
486,84076,84114,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
487,84450,84519,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
488,84611,84613,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
489,84613,84613Rev1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
490,84701,84823,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
491,84376,84895,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
497,84663,85306 S,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
498,,85306 T,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
499,85306,85306 WS,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,,,FALSE,TRUE,,,FALSE,TRUE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
503,85339,85364 108,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
504,85339,85364 206,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
507,85339,85364 Rev1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
506,85372,85500 2nd flr,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,,,TRUE,FALSE,,,TRUE,FALSE,,,TRUE,FALSE,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
