ID,fldOrderNumber,fldQuoteNumber,fldTotalMinutes,fldTotalHours,fldTotalHoursCost,fldRefuseRecycle,fldStandardHours,fldStandardCost,fldChallengeHours,fldChallengeCost,fldCarryUpHours,fldCarryUpCost,fldChallengeCarryUpHrs,fldChallengeCarryUpCost,fldNumberOfInstallers,fldTotalPeiceCount,fldTotalTruckCost,fldHardwareCost,fldWarehouseRec,fldOnSiteRec,fldNewUsedRec,fldOvertimeDeliveryHrs,fldOvertimeDeliveryCost,fldTotalCostAnchorage,fldAnchorageSell,fldBaseDriveHrs,fldBaseDriveCost,fldCombBaseLaborCost,fldTotalCostBaseDrive,fldBaseSell,fldEagleRiverDriveHrs,fldEagleRiverDriveCost,fldCombEagleRiverLaborCost,fldTotalCostEagleRiverDrive,fldEagleRiverSell,fldValleyDriveHrs,fldValleyDriveCost,fldCombValleyLaborCost,fldTotalCostValleyDrive,fldValleySell,fldOutOfTownLabor,fldOutOfTownCost,fldNumOutOfTownInstallers,fldTtlOutOfTownCost,fldOutOfTownSell,fldLaborStdTime,fldLaborOverTime,fldToolOverWeight,fldPerDiem,fldHotelCost,fldAirFare,fldParking,fldRentalCar,fldMiscTravel,fldDate,fldTime,fldSales,fldProjMnger,fldDesigner,fldAcctCoord,fldHdFilingTeardown,fldHdFilingInstall,fldPostShelves,fldRotaryFiles,fldModWall,fldTotalReconfigTime,fldDavisBacon,fldTruckCharge,fldNumDays,fldCustomCut,fldCorian,fldFrtCost,fldFrtSell,fldApproved,fldQuoted,fldSold,fldOptStandard,fldOptChallenge,fldOptCarryUp,fldWareHouseRecHrs,fldOnSiteRecHrs,fldNewUsedRecHrs,fldMiscServices,fldAvgCostPerStationAnch,fldAvgCostPerStationBase,fldAvgCostPerStationER,fldAvgCostPerStationValley,fldAvgCostPerStationOutOfTown,fldNumberOfStations
574,92456,92796,1342,22.4,$851.20,0.9,23,$874.00,27,"$1,026.00",26,988,27,"$1,026.00",3,80,$50.00,$0.00,$127.68,$76.61,$127.68,0,$0.00,"$1,203.68","$1,770.12",7.5,$360.00,"$1,386.00","$1,563.68","$2,299.53",4.5,$216.00,"$1,242.00","$1,419.68","$2,087.77",7.5,$412.50,"$1,438.50","$1,616.18","$2,376.74",30.4,"$1,219.20",4,"$1,219.20","$1,792.94",24,6.4,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/27/21,1:09:54 PM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,3.36,2.016,3.36,0,"$1,203.68","$1,563.68","$1,419.68","$1,616.18","$1,219.20",1
576,92751,92942,734,12.2,$463.60,0.5,13,$494.00,14,$532.00,14,532,15,$570.00,2,55,$50.00,$0.00,$69.54,$41.72,$69.54,0,$0.00,$689.54,"$1,014.03",5,$240.00,$810.00,$929.54,"$1,366.97",3,$144.00,$714.00,$833.54,"$1,225.79",5,$275.00,$845.00,$964.54,"$1,418.44",16.8,$646.40,2,$646.40,$950.59,16,0.7999992,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9/9/21,7:59:15 AM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1.83,1.098,1.83,0,$689.54,$929.54,$833.54,$964.54,$646.40,1
577,Wrangel,92977,1968,32.8,"$1,246.40",1.3,34,"$1,292.00",39,"$1,482.00",37,1406,40,"$1,520.00",5,164,$50.00,$0.00,$186.96,$112.18,$186.96,0,$0.00,"$1,756.96","$2,583.77",12.5,$600.00,"$2,120.00","$2,356.96","$3,466.12",7.5,$360.00,"$1,880.00","$2,116.96","$3,113.18",12.5,$687.50,"$2,207.50","$2,444.46","$3,594.79",44.9,"$1,755.20",6,"$1,755.20","$2,581.18",40,4.900002,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,9/13/21,10:31:16 AM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4.92,2.952,4.92,0,"$1,756.96","$2,356.96","$2,116.96","$2,444.46","$1,755.20",1
581,93905,93942,568,9.5,$361.00,0.4,10,$380.00,11,$418.00,11,418,12,$456.00,1,15,$50.00,$0.00,$54.15,$32.49,$54.15,0,$0.00,$522.15,$767.87,2.5,$120.00,$538.00,$642.15,$944.34,1.5,$72.00,$490.00,$594.15,$873.75,2.5,$137.50,$555.50,$659.65,$970.07,12.4,$515.20,2,$515.20,$757.65,8,4.4,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,11/23/21,11:36:59 AM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,1.425,0.855,1.425,0,$522.15,$642.15,$594.15,$659.65,$515.20,1
584,94262,94262-SW_Approv,1631,27.2,"$1,088.00",1.1,28,"$1,120.00",32,"$1,280.00",31,1240,33,"$1,320.00",2,68,$100.00,$0.00,$163.20,$97.92,$163.20,0,$0.00,"$1,543.20","$2,269.41",5,$260.00,"$1,540.00","$1,803.20","$2,651.77",3,$156.00,"$1,436.00","$1,699.20","$2,498.82",10,$550.00,"$1,830.00","$2,093.20","$3,078.24",36.1,"$1,493.20",2,"$1,493.20","$2,195.88",32,4.099998,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,1/4/22,12:29:02 PM,Joe Schroeder,Paul Moyers,,Vickie Stalmarck,0,0,0,0,0,0,$0.00,2,2,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4.08,2.448,4.08,0,$171.47,$200.36,$188.80,$232.58,$165.91,9
523,99999,99999,275,4.6,$174.80,0.2,5,$190.00,6,$228.00,5,190,6,$228.00,1,13,$50.00,$12.96,$26.22,$15.73,$26.22,0,$0.00,$317.18,$466.44,2.5,$120.00,$348.00,$437.18,$642.91,1.5,$72.00,$300.00,$389.18,$572.32,2.5,$137.50,$365.50,$454.68,$668.65,6.7,$321.60,1,$321.60,$472.94,0,6.7,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,2/19/20,12:47:37 PM,Joe Schroeder,Paul Moyers,Paul Moyers,Brooke Escobar,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,0.6900001,0.414,0.6900001,0,$317.18,$437.18,$389.18,$454.68,$321.60,1
583,99999,999999,1443,24,$960.00,1,25,"$1,000.00",29,"$1,160.00",27,1080,29,"$1,160.00",4,38,$50.00,$22.68,$144.00,$86.40,$144.00,0,$0.00,"$1,376.68","$2,024.53",10,$520.00,"$1,680.00","$1,896.68","$2,789.24",6,$312.00,"$1,472.00","$1,688.68","$2,483.35",10,$550.00,"$1,710.00","$1,926.68","$2,833.35",32.6,"$1,311.20",4,"$1,311.20","$1,928.24",32,0.5999985,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,12/2/21,3:24:17 PM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3.6,2.16,3.6,0,"$1,376.68","$1,896.68","$1,688.68","$1,926.68","$1,311.20",1
537,85689,99999rev1,1454,24.2,$919.60,1,25,$950.00,28,"$1,064.00",28,1064,29,"$1,102.00",4,49,$50.00,$0.00,$137.94,$82.76,$137.94,0,$0.00,"$1,289.94","$1,896.97",10,$480.00,"$1,582.00","$1,769.94","$2,602.85",6,$288.00,"$1,390.00","$1,577.94","$2,320.50",10,$550.00,"$1,652.00","$1,839.94","$2,705.79",32.6,"$1,244.80",4,"$1,244.80","$1,830.59",32,0.5999985,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,3/9/20,4:39:56 AM,Joe Schroeder,Paul Moyers,Tiffany Ghan,Tiffany Ghan,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3.63,2.178,3.63,0,"$1,289.94","$1,769.94","$1,577.94","$1,839.94","$1,244.80",1
592,VA Fairbanks Add-on,Add-on 070822,929,15.5,$542.50,0.6,16,$560.00,19,$665.00,18,630,19,$665.00,2,44,$50.00,$51.84,$81.38,$48.83,$65.10,0,$0.00,$831.94,"$1,223.44",5,$200.00,$865.00,"$1,031.94","$1,517.56",3,$120.00,$785.00,$951.94,"$1,399.91",5,$275.00,$940.00,"$1,106.94","$1,627.85",20.9,$756.00,3,"$1,431.00","$2,104.41",16,4.9,$300.00,$300.00,$0.00,$0.00,$75.00,$0.00,$0.00,7/8/22,4:21:09 PM,Joe Schroeder,Joe Schroeder,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,1,1,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2.325,1.395,1.86,0,$831.94,"$1,031.94",$951.94,"$1,106.94","$1,431.00",1
614,2638042,ANC_MEPS_5,42910,715.2,"$26,641.20",28.6,744,"$27,714.00",901,"$33,562.25",815,30358.75,865,"$32,221.25",5,3008,"$2,500.00",$58.32,"$3,996.18","$2,397.71","$3,996.18",0,$0.00,"$38,775.75","$75,874.98",12.5,$590.63,"$32,811.88","$39,366.38","$76,465.60",7.5,$354.38,"$32,575.63","$39,130.13","$76,229.35",250,"$13,750.00","$45,971.25","$52,525.75","$89,624.98",972.3,"$36,341.18",6,"$36,341.18","$36,341.18",960,12.29999,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/23/22,12:54:08 PM,Clint Johnson,Clint Johnson,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,50,20,$0.00,$0.00,"$27,824.42","$37,099.23",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,107.28,64.368,107.28,0,"$38,775.75","$39,366.38","$39,130.13","$52,525.75","$36,341.18",1
615,2638042,ANC_MEPS_6,42910,715.2,"$25,032.00",28.6,744,"$26,040.00",873,"$30,555.00",815,28525,865,"$30,275.00",5,3008,"$2,500.00",$58.32,"$3,754.80","$2,252.88","$3,754.80",0,$0.00,"$36,588.12","$91,484.96",12.5,$500.00,"$30,775.00","$37,088.12","$92,220.26",7.5,$300.00,"$30,575.00","$36,888.12","$91,926.14",250,"$13,750.00","$44,025.00","$50,338.12","$111,705.50",972.3,"$34,092.00",6,"$34,092.00","$50,135.29",960,12.29999,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/23/22,1:00:03 PM,Joe Schroeder,Clint Johnson,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,50,20,$0.00,$0.00,"$31,882.15","$37,678.90",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,107.28,64.368,107.28,0,$795.39,$806.26,$801.92,"$1,094.31",$741.13,46
616,2638042,ANC_MEPS_7,42910,715.2,"$25,032.00",28.6,744,"$26,040.00",873,"$30,555.00",815,28525,865,"$30,275.00",5,3008,"$2,500.00",$58.32,"$3,754.80","$2,252.88","$3,754.80",0,$0.00,"$36,588.12","$91,484.96",12.5,$500.00,"$30,775.00","$37,088.12","$92,220.26",7.5,$300.00,"$30,575.00","$36,888.12","$91,926.14",250,"$13,750.00","$44,025.00","$50,338.12","$111,705.50",972.3,"$34,092.00",6,"$34,092.00","$50,135.29",960,12.29999,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/23/22,1:06:21 PM,Joe Schroeder,Clint Johnson,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,50,20,$0.00,$0.00,"$31,882.15","$37,678.90",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,107.28,64.368,107.28,0,"$36,588.12","$37,088.12","$36,888.12","$50,338.12","$34,092.00",1
617,2638042,ANC_MEPS_8,42910,715.2,"$25,032.00",28.6,744,"$26,040.00",873,"$30,555.00",815,28525,865,"$30,275.00",5,3008,"$2,500.00",$58.32,"$3,754.80","$2,252.88","$3,754.80",0,$0.00,"$35,086.20","$89,276.25",12.5,$500.00,"$30,775.00","$35,586.20","$90,011.55",7.5,$300.00,"$30,575.00","$35,386.20","$89,717.43",250,"$13,750.00","$44,025.00","$48,836.20","$109,496.80",929.4,"$32,576.00",6,"$32,576.00","$47,905.88",920,9.400024,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/23/22,1:11:04 PM,Joe Schroeder,Clint Johnson,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,50,20,$0.00,$0.00,"$31,882.15","$37,678.90",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,107.28,64.368,107.28,0,$762.74,$773.61,$769.27,"$1,061.66",$708.17,46
618,2638042,ANC_MEPS_9,37195,711.9,"$24,916.50",28.5,740,"$25,900.00",869,"$30,415.00",812,28420,861,"$30,135.00",5,2753,"$2,700.00",$74.52,"$3,737.48","$2,242.49","$3,737.48",0,$0.00,"$36,927.00","$100,678.40",12.5,$500.00,"$30,915.00","$37,427.00","$101,413.70",7.5,$300.00,"$30,715.00","$37,227.00","$101,119.60",250,"$13,750.00","$44,165.00","$50,677.00","$120,899.00",975.8,"$34,232.00",6,"$34,232.00","$50,341.18",960,15.79999,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/23/22,1:40:28 PM,Joe Schroeder,Clint Johnson,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,5520,$0.00,54,20,$0.00,$0.00,"$40,577.28","$46,374.04",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,106.785,64.07101,106.785,0,$802.76,$813.63,$809.28,"$1,101.67",$744.17,46
619,2638870,ANG772,2436,40.6,"$1,421.00",1.6,42,"$1,470.00",47,"$1,645.00",46,1610,49,"$1,715.00",3,130,$150.00,$81.00,$213.15,$127.89,$213.15,0,$0.00,"$2,089.15","$5,500.48",7.5,$300.00,"$1,945.00","$2,389.15","$5,941.66",4.5,$180.00,"$1,825.00","$2,269.15","$5,765.19",15,$825.00,"$2,470.00","$2,914.15","$6,713.72",53.1,"$1,884.00",3,"$1,884.00","$2,770.59",48,5.099998,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/24/22,1:09:42 PM,Joe Schroeder,Joe Schroeder,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,480,$0.00,3,2,$0.00,$0.00,"$2,124.68","$2,428.20",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,6.09,3.654,6.09,0,$348.19,$398.19,$378.19,$485.69,$314.00,6
271,ANTHC Inuit,ANTHC Inuit,20541,342.4,"$12,754.40",13.7,356,"$13,261.00",414,"$15,421.50",390,14527.5,414,"$15,421.50",5,1055,$750.00,$573.48,"$1,913.16","$1,147.90","$1,913.16",0,$0.00,"$18,658.14","$26,654.49",12.5,$590.63,"$16,012.13","$19,248.77","$27,498.24",7.5,$354.38,"$15,775.88","$19,012.52","$27,160.74",12.5,$687.50,"$16,109.00","$19,345.64","$27,636.63",465.4,"$17,430.15",6,"$17,430.15","$24,900.21",456,9.399994,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,8/18/17,7:16:12 AM,Joe Schroeder,Paul Moyers,Paul Moyers,Vickie Stalmarck,0,0,0,0,0,0,$0.00,15,10,$0.00,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,51.36,30.816,51.36,0,$373.16,$384.98,$380.25,$386.91,$348.60,50
